BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P5071,Male,1950,,Geluk,Q319218,ཚེ་སྨོན་གླིང ༠༥་བསྟན་འཛིན་འཕྲིན་ལས་རྒྱལ་མཚན།,,,བསྟན་འཛིན་འཕྲིན་ལས་རྒྱལ་མཚན།,ཚེ་སྨོན་གླིང ༠༥,,,,,,,,,,,,,,,,,,,,,
P2889,Male,1002,1062,Nyingma,Q848771,ཟུར་ཆེན་ཤཱཀྱ་འབྱུང་གནས།,,Zurchen Shakya Jungne,འུག་པ་ལུང་པ་ཤཱཀྱ་འབྱུང་གནས།,ཤཱཀྱ་འབྱུང་གནས།,,,,,,,,,,,,,,,,,,,,,
P6748,Male,,,,,དར་རྒྱས།,,,གཙང་སྡིངས་དར་རྒྱས།,,,,,,,,,,,,,,,,,,,,,,
P5667,Male,,,,,རྩེ་པ་ཤེས་རབ་བཟང་པོ།,,,ཤེས་རབ་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P8LS15556,,,,,,ཡང་དགོན་ལྷུན་གྲུབ་རྡོ་རྗེ།,,,ལྷུན་གྲུབ་རྡོ་རྗེ།,,,,,,,,,,,,,,,,,,,,,,
P610,Female,,,,,བུ་འདྲེན་སྐྱིད།,,,,,,,,,,,,,,,,,,,,,,,,,
P7724,Male,1472,1520,TaklungKagyu,Q2388143,ཆོས་རྗེ་བསོད་ནམས་ཡེ་ཤེས་དཔལ་བཟང་།,,,སྟག་ལུང་ཁྲི ༡༤,བསོད་ནམས་ཡེ་ཤེས་དཔལ་བཟང་།,,,,,,,,,,,,,,,,,,,,,
P8969,Male,1859,1918,,,ལྷ་རྩེ་དགོན་གདན་ས་བ་ཀུན་དགའ་མཉམ་ཉིད།,,,ཀུན་དགའ་མཉམ་ཉིད།,,,,,,,,,,,,,,,,,,,,,,
P2GS1030,,,,,,པ་རྣམ་ལྷུན་གྲུབ་རྩེས་པ་རྒྱལ་དབང་རྡོ་རྗེ།,,,ལྷུན་གྲུབ་རྩེས་པ་རྒྱལ་དབང་རྡོ་རྗེ།,རྒྱལ་དབང་རྡོ་རྗེ།,,,,,,,,,,,,,,,,,,,,,
P8LS13562,,,,,,སློབ་དཔོན་མཆེ་བའི་སྡེ།,,,མཆེ་བའི་སྡེ།,,,,,,,,,,,,,,,,,,,,,,
P6612,Male,,,,,སྨང་སྒང་པ་ཡོན་ཏན་ཚེ་རིང་།,,,ཡོན་ཏན་ཚེ་རིང་།,,,,,,,,,,,,,,,,,,,,,,
P8LS13581,,,,,,འཕགས་མཆོག་བྱམས་པ་སྐལ་བཟང་།,,,བྱམས་པ་སྐལ་བཟང་།,,,,,,,,,,,,,,,,,,,,,,
P4CZ1046,,,,,,བྱང་སེམས་སྦྱིན་པ་མཐར་ཕྱིན།,,,སྦྱིན་པ་མཐར་ཕྱིན།,,,,,,,,,,,,,,,,,,,,,,
P1991,Female,,,,,ཚེ་རིང་བསམ་གྲུབ།,,,,,,,,,,,,,,,,,,,,,,,,,
P5795,Male,,,,,སྟག་ཤམ ༠༦་ཀརྨ་གསང་སྔགས་བསྟན་འཛིན།,,,ཀརྨ་གསང་སྔགས་བསྟན་འཛིན།,"གསང་སྔགས་བསྟན་འཛིན,་སྟག་ཤམ ༠༦",,,,,,,,,,,,,,,,,,,,,
P7264,Male,1945,,,,,,per kvaerne,"kvaerne, per",,,,,,,,,,,,,,,,,,,,,,
P6165,Male,,,,,ངག་དབང་ཡེ་ཤེས་རང་གྲོལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS15044,,,,,,གཉན་རས་དགེ་འདུན་འབུམ།,,,དགེ་འདུན་འབུམ།,,,,,,,,,,,,,,,,,,,,,,
P10096,Male,,,,,བློ་བཟང་ཐར་པ།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG4279,,1973,,,,ཚེ་རིང་པོ།,,,ག་ཟི་དགེ་བཤེས་ཚེ་རིང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P8LS13499,,,,,,དཔལ་ཡིད་དམ་བཟང་པོ།,,,ཡིད་དམ་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P3359,Male,,,Geluk,Q319218,ཕུར་བུ་ལྕོག་གནས་བླ་མ།,,,ཕུར་བུ་ལྕོག་གནས་བླ་མ་ཡེ་ཤེས་ཆོས་གྲགས།,ཡེ་ཤེས་ཆོས་གྲགས།,གནས་བླ་མ་ཡེ་ཤེས་ཆོས་གྲགས།,,,,,,,,,,,,,,,,,,,,
P3JM44,,,,,,བཀའ་བློན་ཚ་བ།,,,ཚ་བ།,,,,,,,,,,,,,,,,,,,,,,
P7867,Male,,,,,འཇིགས་མེད་འཕྲིན་ལས་རྣམ་རྒྱལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P7904,Male,,,,,གྲུབ་དབང་ཐུགས་རྗེ་བསམ་གཏན།,,,ཐུགས་རྗེ་བསམ་གཏན།,,,,,,,,,,,,,,,,,,,,,,
P4095,Male,1678,1738,Sakya,Q650035,སྡེ་དགེ་རྒྱལ་པོ་བསྟན་པ་ཚེ་རིང་།,,Tenpa Tsering,བསྟན་པ་ཚེ་རིང་།,,,,,,,,,,,,,,,,,,,,,,
P7119,Male,1709,1781,,,བྱ་བཏང་ཀརྨ་དཔལ་ལྡན།,,,ཀརྨ་དཔལ་ལྡན།,,,,,,,,,,,,,,,,,,,,,,
P8LS15581,,,,,,མཚོ་རྡོ་རྗེ་འོད།,,,རྡོ་རྗེ་འོད།,,,,,,,,,,,,,,,,,,,,,,
P9847,Male,,,,,གྲུབ་ཆེན་ཏནྟི་པ།,,the senile weaver,གྲུབ་ཆེན་ཐགས་མཁན།,ཏནྟི་པ།,,,,,,,,,,,,,,,,,,,,,
P2JM476,,,,,,ཨོལ་རྒྱའི་རྡོ་རྗེ་ཤེས་རབ།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG109146,,,,,,བསམ་གཏན་ཡེ་ཤེས་གླིང་པ།,,,ཧོར་བླ་གཞན་ཕན་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P10343,Male,,1920,Geluk,Q319218,ཀིརྟི ༠༩་བསྐལ་བཟང་བློ་གྲོས་ཀུན་དགའ་ལུང་རྟོགས་རྒྱ་མཚོ།,,Kelzang Lodro Kunga Lungtok Gyatso,བསྐལ་བཟང་བློ་གྲོས་ཀུན་དགའ་ལུང་རྟོགས་རྒྱ་མཚོ།,ཀིརྟི ༠༩,,,,,,,,,,,,,,,,,,,,,
P1377,Male,,,,,ལྷ་རྩེ་དགེ་སློང་འཇམ་དཔལ་ཚུལ་ཁྲིམས།,,,འཇམ་དཔལ་ཚུལ་ཁྲིམས།,,,,,,,,,,,,,,,,,,,,,,
P6926,Male,,,,,བཀའ་བློན་བླ་མ་བསྐལ་བཟང་ཡོན་ཏན།,,,བསྐལ་བཟང་ཡོན་ཏན།,,,,,,,,,,,,,,,,,,,,,,
P8140,Male,,,,,ལྷ་བཙུན་འགྱུར་མེད་འཇིགས་བྲལ་བསྟན་འཛིན་དཔའ་བོ།,,,འགྱུར་མེད་འཇིགས་བྲལ་བསྟན་འཛིན་དཔའ་བོ།,,,,,,,,,,,,,,,,,,,,,,
P1PD76613,,,,,,ཚེ་མགོན་རིག་འཛིན།,,,སོ་མང་རྒྱལ་པོ་ཚེ་མགོན་རིག་འཛིན།,,,,,,,,,,,,,,,,,,,,,,
P3087,Male,,,,,ཕམ་མཐིང་པ་གཅུང་ངག་གི་དབང་ཕྱུག,,,ངག་གི་དབང་ཕྱུག,ཀཱ་ལ་ཙཀྲ།,ཕམ་མཐིང་པ་གཅུང་།,དུས་འཁོར་བ།,དུས་འཁོར་བ་གཅུང་།,,,,,,,,,,,,,,,,,,
P4CZ15454,,,,,,ཤཱཀྱ་བཤེས་གཉེན།,,,འཇམ་དཔལ་ཞལ་མཐོང་ཤཱཀྱམི་ཏྲ།,སློབ་དཔོན་ཤཱཀྱ་བཤེས་གཉེན།,,,,,,,,,,,,,,,,,,,,,
P8LS12041,,,,,,བསྟན་པ་བཟོད་པ།,,,འབྲས་སྤུངས་སྒོ་མང་གྲྭ་ཚང་གི་མཁན་ཐོག ༥༤,དཔོན་སློབ་བསྟན་པ་བཟོད་པ།,,,,,,,,,,,,,,,,,,,,,
P3342,Male,,,,,བྱམས་པ་ལྷ་དབང་རིག་འཛིན།,,,,,,,,,,,,,,,,,,,,,,,,,
P7687,Male,,,,,ཁོད་སྤོ་བློ་གྲོས་ཐོགས་མེད།,,,བློ་གྲོས་ཐོགས་མེད།,,,,,,,,,,,,,,,,,,,,,,
P3JM74,,,,,,མགོ་ཚ་མཁན་པོ་ཉི་མ་རྒྱ་ལོ།,,,མགོ་ཚ་ཉི་མ་རྒྱ་ལོ།,མགོ་ཚྭ་མཁན་པོ།,,,,,,,,,,,,,,,,,,,,,
P1931,Male,,,,,བླ་མ་ཡེ་ཤེས་ཆོས་འཕེལ།,,,ཡེ་ཤེས་ཆོས་འཕེལ།,,,,,,,,,,,,,,,,,,,,,,
P7780,Female,,,,,བསོད་ནམས་དཔལ་འདྲེན།,,,,,,,,,,,,,,,,,,,,,,,,,
P334,Male,1715,1780,,,ལྷ་བཙུན་ངག་དབང་རྡོ་རྗེ།,,,ལྷ་བཙུན་ལྷུན་གྲུབ་དར་རྒྱས།,ངག་དབང་ལྷུན་གྲུབ་དར་རྒྱས།,ཐོ་ཡོན་ནོ་མོན་ཧན་ངག་དབང་ལྷུན་གྲུབ་དར་རྒྱས།,ངག་དབང་རྡོ་རྗེ།,ཨ་ལག་ཤ་མཁན་སྤྲུལ ༠༡་ངག་དབང་ལྷུན་གྲུབ་དར་རྒྱས།,དར་རྒྱས་ནོ་མོན་ཧན།,,,,,,,,,,,,,,,,,
P3CN8620,,,,,,འདས་ལོག་པ་སངས་རྒྱས་ལྷུན་གྲུབ།,,,སངས་རྒྱས་ལྷུན་གྲུབ།,,,,,,,,,,,,,,,,,,,,,,
P1266,Female,,,,,སྒྲོལ་མ་འཚོ།,,,,,,,,,,,,,,,,,,,,,,,,,
P4159,Male,,,,,ལྷུན་སྡིངས་ལེགས་གྲུབ་དཔལ་བ།,,Lekdrub Pel,ལེགས་གྲུབ་དཔལ་བ།,,,,,,,,,,,,,,,,,,,,,,
P1KG18494,,,,,,བསྟན་འཛིན་དགྲ་ལྷ།,,,,,,,,,,,,,,,,,,,,,,,,,
P9246,Male,,,Nyingma,Q848771,ཨ་མགྲོན་ལྔ་པ།,,,ཨ་མགྲོན ༠༥,,,,,,,,,,,,,,,,,,,,,,
P3019,Male,,,,,མཁས་པ་ཟླ་བའི་མགོན་པོ།,,,ཟླ་བའི་མགོན་པོ།,,,,,,,,,,,,,,,,,,,,,,
P230,Male,1878,1941,Rime,Q1571776,ཕ་བོང་ཁ་པ་བདེ་ཆེན་སྙིང་པོ།,,Dechen Nyingpo,བྱམས་པ་བསྟན་འཛིན་འཕྲིན་ལས།,ངག་དབང་རབ་བརྟན།,བདེ་ཆེན་སྙིང་པོ།,,,,,,,,,,,,,,,,,,,,
P2LS289,Female,,,,,པདྨ་སྒྲོལ་དཀར།,,,,,,,,,,,,,,,,,,,,,,,,,
P6345,Male,1935,,Nyingma,Q848771,མགར་མཁན་པོ་བློ་བཟང་ཚུལ་ཁྲིམས།,,,དར་ཐང་མཁན་རབས ༡༡,བློ་བཟང་ཚུལ་ཁྲིམས།,,,,,,,,,,,,,,,,,,,,,
P1KG5870,Male,1962,,,,བློ་བཟང་རྡོ་རྗེ།,,geshe lobsang dorje (rabling),བློ་བཟང་རྡོ་རྗེ ༼རབ་གླིང༽,,,,,,,,,,,,,,,,,,,,,,
P2683,Male,,,,,སྒང་སྟེང་ཌབོན་པོ།,,,སྒང་སྟེང་ཌབོན་པོ་ཊཤེ་རིང་དབང་ཆེན།,ཚེ་རིང་དབང་ཆེན།,,,,,,,,,,,,,,,,,,,,,
P2LS176,,,1792,,,བློ་བཟང་གེ་འདུན་གྲགས་པ།,,,,,,,,,,,,,,,,,,,,,,,,,
P3AG49,,1745,1829,Kagyu,Q471187,རི་བོ་ཆེ་རྗེ་དྲུང ༠༥,,Rinchen Lekdrub,རིན་ཆེན་ལེགས་གྲུབ།,,,,,,,,,,,,,,,,,,,,,,
P9761,Male,1957,,,,བཀྲ་ཤིས་ཚེ་རིང་།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS13678,,,,,,ཆོས་ལུང་ཤར་གླིང་པ་འཁྲུལ་ཞིག་ཀུན་བཟང་མཐུ་སྟོབས་དཔལ་འབར།,,,ཀུན་བཟང་མཐུ་སྟོབས་དཔལ་འབར།,,,,,,,,,,,,,,,,,,,,,,
P8LS15006,,,,,,འཚོ་བྱེད་ཀརྨ་བསྟན་འཕེལ།,,,ཀརྨ་བསྟན་འཕེལ།,,,,,,,,,,,,,,,,,,,,,,
P8LS12503,,,,,,དགེ་ལེགས་དབང་པོ།,,,དཔལ་འབར་སྤྲུལ་སྐུ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P9713,Female,1918,,,,,,"slusser, mary shepherd",,,,,,,,,,,,,,,,,,,,,,,
P1061,Male,,,,,ཤེས་རབ་རིན་ཆེན།,,,གློ་བོ་ལོ་ཙཱ་བ་ཤེས་རབ་རིན་ཆེན།,,,,,,,,,,,,,,,,,,,,,,
P3CN26550,,,,,,ཕྱག་མཛོད་ཤེས་རབ་མཐར་ཕྱིན།,,,ཤེས་རབ་མཐར་ཕྱིན།,,,,,,,,,,,,,,,,,,,,,,
P4CZ366937,,,,,,བན་ཤུལ་དཔལ་མཁར་རྒྱལ།,,,དཔའ་མཁར་རྒྱལ།,དཔལ་མཁར་རྒྱལ།,,,,,,,,,,,,,,,,,,,,,
P5975,Male,,,Nyingma,Q848771,སྦྲ་མགོ་བ་བརྩོན་འགྲུས་རྒྱ་མཚོ།,,Tsondru Gyatso,སྦྲ་འགོ་བ་བརྩོན་འགྲུས་རྒྱ་མཚོ།,བརྩོན་འགྲུས་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,,
P7701,Male,,,,,རྐང་བཙུགས།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12169,,,,Geluk,Q319218,བློ་བཟང་ཕུན་ཚོགས་ཟླ་བ།,,,ཞལ་ཤུལ་བློ་བཟང་ཕུན་ཚོགས་ཟླ་བ།,རྔ་ཡུལ་སྒོ་མང་ཁྲི ༣༨,,,,,,,,,,,,,,,,,,,,,
P9408,Male,,,Sakya,Q650035,ཚེ་མགོན་བླ་མ ༠༣་བློ་བཟང་མཁྱེན་རབ།,,,ཚེ་མགོན་བླ་མ ༠༣,བློ་བཟང་མཁྱེན་རབ།,,,,,,,,,,,,,,,,,,,,,
P974,Male,1835,1895,Sakya,Q650035,ངོར་མཁན་ཆེན ༥༥་ངག་དབང་བསོད་ནམས་རྒྱལ་མཚན།,,,ངོར་མཁན་ཆེན ༥༥,ངག་དབང་བསོད་ནམས་རྒྱལ་མཚན།,ཁང་གསར་མཁན་ཆེན་ངག་དབང་བསོད་ནམས་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,
P9917,Male,,,,,འཕྲིན་ལས།,,,,,,,,,,,,,,,,,,,,,,,,,
P6347,Male,1857,1911,Nyingma,Q848771,མགར་བ་གཏེར་ཆེན་པདྨ་བདུད་འདུལ་དབང་ཕྱུག་གླིང་པ།,,,པདྨ་ཀློང་ཡངས་རྒྱ་མཚོ།,པདྨ་བདུད་འདུལ་དབང་ཕྱུག་གླིང་པ།,མགར་ཀློང་བདུད་འདུལ་དབང་ཕྱུག་གླིང་པ།,,,,,,,,,,,,,,,,,,,,
P1TD27,Female,,,,,ཚེ་སྤོང་བཟའ་འབྲི་མ་ཐོད་དཀར།,,,འབྲི་མ་ཐོད་དཀར།,,,,,,,,,,,,,,,,,,,,,,
P2JM138,,,,,,གཡགས་རྡོ་རྗེ་འཛིན་པ།,,,,,,,,,,,,,,,,,,,,,,,,,
P4699,Male,1779,1838,,,ཀྱེ་རྡོར་མཁན་པོ་ངག་དབང་མཁས་གྲུབ།,,Ngawang Khedrub,ཁལ་ཁ་མཁན་པོ་ངག་དབང་བློ་བཟང་མཁས་གྲུབ།,ཁུ་རེ་ཆོས་རྗེ་ངག་དབང་མཁས་གྲུབ།,ངག་དབང་མཁས་གྲུབ།,ངག་དབང་བློ་བཟང་མཁས་གྲུབ།,,,,,,,,,,,,,,,,,,,
P9670,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1315,Male,1085,1171,,,ཤ་མི་འདུལ་འཛིན་ཆེན་པོ།,,,སྨོན་ལམ་ཚུལ་ཁྲིམས།,,,,,,,,,,,,,,,,,,,,,,
P10366,Male,,,,,སྤང་ལབ་སྤྲུལ་སྐུ་སྐྱེ་བརྒྱུད།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS15079,,,,,,མྱ་ངན་མེད་འཚོ།,,,,,,,,,,,,,,,,,,,,,,,,,
P7313,Male,950,1030,,,ཤེས་རབ་འབྱུང་གནས་བློ་གྲོས།,,,པན་ཆེན་ཤེས་རབ་འབྱུང་གནས།,ཤེས་རབ་འབྱུང་གནས།,,,,,,,,,,,,,,,,,,,,,
P9858,Male,1886,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7651,Male,,,Geluk,Q319218,སེར་ཤུལ་དགེ་བཤེས་བློ་བཟང་ཕུན་ཚོགས།,,,སྦྲ་ཆེན་བློ་བཟང་ཕུན་ཚོགས།,བསོད་ནམས་དཔལ་འབྱོར།,བློ་བཟང་ཕུན་ཚོགས།,,,,,,,,,,,,,,,,,,,,
P8LS15441,,,,,,པདྨ་གྲགས་པ།,,,,,,,,,,,,,,,,,,,,,,,,,
P7298,Male,1971,,,,ཉི་ཟླ་ལྕེ་ནག་ཚང་།,,,,,,,,,,,,,,,,,,,,,,,,,
P3787,Male,,1757,Sakya,Q650035,རྒྱལ་མཁན་ཆེན་བློ་བཟང་ཉི་མ།,,Lobzang Nyima,རྒྱལ་མཁན་ཟུར་བློ་བཟང་ཉི་མ།,རྒྱལ་མཁན་ཆེན ༠༡,རོང་པོ་དགོན་ཆེན་གདན་རབས ༡༠,བློ་བཟང་ཉི་མ།,,,,,,,,,,,,,,,,,,,
P581,Male,1831,1850,,,ཞབས་དྲུང་གསུང་སྤྲུལ ༠༤་འཇིགས་མེད་རྡོ་རྗེ།,,,འབྲུག་པ་ཞབས་དྲུང ༠༥,འཇིགས་མེད་རྡོ་རྗེ།,ཞབས་དྲུང་གསུང་སྤྲུལ ༠༤,ཕྱོགས་ལས་སྤྲུལ་སྐུ།,,,,,,,,,,,,,,,,,,,
P897,Male,,,,,ལོ་ཆེན་སངས་རྒྱས་དཔལ་བཟང་།,,,སངས་རྒྱས་དཔལ་བཟང་།,ཤོང་སྟོན་སྤྲུལ་པའི་ཟློས་གར་སངས་རྒྱས་དཔལ་བཟང་།,,,,,,,,,,,,,,,,,,,,,
P7218,Male,,,,,སློབ་དཔོན་འགྲོ་བཟང་སྙིང་པོ།,,,འགྲོ་བཟང་སྙིང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P865,Male,1924,1981,KarmaKagyu,Q785447,ཀརྨ་པ ༡༦་རང་བྱུང་རིག་པའི་རྡོ་རྗེ།,,,ཀརྨ་པ ༡༦,རང་བྱུང་རིག་པའི་རྡོ་རྗེ།,,,,,,,,,,,,,,,,,,,,,
P7076,Male,,,Geluk,Q319218,སྡོམ་རམས་འབྱམས་པ་ཡེ་ཤེས་དགེ་ལེགས།,,,ཡེ་ཤེས་དགེ་ལེགས།,རྔ་ཡུལ་སྒོ་མང་ཁྲི ༠༣,རྔ་བ་སྒོ་མང་ཁྲི་རབས ༠༣་ཡེ་ཤེས་དགེ་ལེགས།,,,,,,,,,,,,,,,,,,,,
P5665,Male,,,,,སངས་རྒྱས་རྒྱ་མཚོ།,,,རྒྱུད་ཆེན་སངས་རྒྱས་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,,,
P8882,Male,,,,,འཇམ་དབྱངས་རིན་ཆེན་རྡོ་རྗེ།,,,,,,,,,,,,,,,,,,,,,,,,,
P1285,Male,,,,,སྔགས་རམས་པ་བསོད་ནམས་ཡར་འཕེལ།,,,བསོད་ནམས་ཡར་འཕེལ།,ཤུག་ཤར་སྔགས་རམས་པ་བསོད་ནམས་ཡར་འཕེལ།,,,,,,,,,,,,,,,,,,,,,
P8LS75442,,1944,,,,ཤ་བོ་ཚེ་རིང་།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG3853,Male,,,,,,,rasi,,,,,,,,,,,,,,,,,,,,,,,
P2306,Male,,,,,བཀའ་འགྱུར་བ་ཐབས་མཁས་རྒྱ་མཚོ།,,,དཀའ་ཆེན་ཋབས་མཁས་རྒྱ་མཚོ།,ཐབས་མཁས་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,,
P1273,Male,,,,,ངང་པ་དཔལ་མགོན།,,,"དཔལ་མགོན,་ཎགང་པ།",,,,,,,,,,,,,,,,,,,,,,
P2464,Male,1398,1475,Sakya,Q650035,འཇམ་དབྱངས་དཀོན་མཆོག་བཟང་པོ།,,Jamyang Konchok Zangpo,དཀོན་མཆོག་བཟང་པོ།,ཇོ་ནང་མཁན་ཆེན་དཀོན་མཆོག་བཟང་པོ།,ཇོ་ནང་གདན་རབས ༡༤,འཇམ་དབྱངས་དཀོན་བཟང་།,,,,,,,,,,,,,,,,,,,
P3442,Male,1027,1105,Kadam,Q588362,པོ་ཏོ་པ་རིན་ཆེན་གསལ།,,Potowa Rinchen Sel,དགེ་བཤེས་པོ་ཏོ་བ།,བུ་ཏོ་པ་རིན་ཆེན་གསལ།,པུ་ཏོ་བ་རིན་ཆེན་གསལ།,རིན་ཆེན་གསལ།,,,,,,,,,,,,,,,,,,,
P7595,Male,,,,,ཆོས་མཛད་ཡེ་ཤེས་བཟང་པོ།,,,ཡེ་ཤེས་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,
P1KG24044,,1826,1890,,,ཅོརློ་ཅོལློདི།,,carlo lorenzini,,,,,,,,,,,,,,,,,,"collodi, carlo",,,,,
P8LS12962,,,,,,བྱུང་དབང་ཕུན་ཚོགས།,,,བཀྲ་ཤིས་ལྗོངས་སྤྲུལ་སྐུ ༠༥,,,,,,,,,,,,,,,,,,,,,,
P4CZ15471,,,,,,མཁན་པོ་ཀཱ་ལ་ཙ་ཀྲ།,,,དུས་འཁོར་བ།,,,,,,,,,,,,,,,,,,,,,,
P6491,Male,,,,,འཛི་ཀ་བླ་མ་ངག་མཆོག,,,ངག་མཆོག,,,,,,,,,,,,,,,,,,,,,,
P6951,Male,,,,,ཕ་ཁོལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P4036,Male,,,,,མཁན་ཆེན་ཆུ་བཟང་པ་བྱང་ཆུབ་འབར།,,,བྱང་ཆུབ་འབར།,ཆུ་བཟང་པ།,,,,,,,,,,,,,,,,,,,,,
P1AG71,,,,,,སྡེ་དགེ་རྒྱལ་རབས ༠༡,,Botar Lodro Tobden,བློ་གྲོས་སྟོབས་ལྡན།,བཀྲ་ཤིས་སེང་གེ,བོ་ཐར་བུ་མོ་འཚེངས།,བོ་ཐར་བློ་གྲོས་སྟོབས་ལྡན།,,,,,,,,,,,,,,,,,,,
P2820,Male,,,,,བསོད་ནམས་བཟང་པོ།,,,,,,,,,,,,,,,,,,,,,,,,,
P9784,Male,,,,,དཔང་སྟོན་ཆོས་དབང་ལྷུན་གྲུབ།,,,ཆོས་དབང་ལྷུན་གྲུབ།,,,,,,,,,,,,,,,,,,,,,,
P11MS153,,,,Bon,Q815628,སྒོ་ཛུང་བློ་གྲོས་རྒྱལ་མཚན།,,Godzung Lodro Gyeltsen,,,,,,,,,,,,,,,,,,,,,,,
P773,Male,1708,1736,,,ཞབས་དྲུང་གསུང་སྤྲུལ ༠༡་ཕྱོགས་ལས་རྣམ་རྒྱལ།,,,ཕྱོགས་ལས་རྣམ་རྒྱལ།,ཕྱོགས་ལས་སྤྲུལ་སྐུ།,འབྲུག་པ་ཞབས་དྲུང ༠༢,ཞབས་དྲུང་གསུང་སྤྲུལ ༠༡,,,,,,,,,,,,,,,,,,,
P7401,Male,,,,,སློབ་དཔོན་འཕགས་པ་ལྷ།,,the one eyed,གྲུབ་ཆེན་ཀརྣ་རི་པ།,ཀརྣ་རི་པ།,ས་བགྱད་ནོན་པ་ཨཱརྱ་དེ་ཝ།,འཕགས་པ་ལྷ།,,,,,,,,,,,,,,,,,,,
P4CZ294731,,1984,,,,དཔའ་རིས་པ་དོན་ཡོད་སྐྱབས།,,,དོན་ཡོད་སྐྱབས།,,,,,,,,,,,,,,,,,,,,,,
P9557,Male,,,,,ཀརྨ་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12971,,,,,,མི་ཕམ་བསོད་ནམས་གྲུབ་རྒྱལ།,,,རྒྱལ་རྩེ་སྐྱིད་སྦུག་སྤྲུལ་སྐུ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P1814,Male,1855,1899,Geluk,Q319218,དེ་མོ ༠༩་ངག་དབང་བློ་བཟང་འཕྲིན་ལས་རབ་རྒྱས།,,Ngawang Lobzang Trinle Rabgye,ངག་དབང་བློ་བཟང་འཕྲིན་ལས་རབ་རྒྱས།,དེ་མོ ༠༩,དཔལ་འབྱོར་དོན་གྲུབ་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,
P4259,Male,,,,,ལོ་ཙཱ་བ་དཔལ་གྱི་ལྷུན་པོ།,,Pelgyi Lhunpo,དཔལ་གྱི་ལྷུན་པོ།,,,,,,,,,,,,,,,,,,,,,,
P4CZ16787,,,,,,སློབ་དཔོན་ཉི་མ་གྲུབ།,,,ཉི་མ་གྲུབ།,,,,,,,,,,,,,,,,,,,,,,
P5950,Male,,,,,ལྷ་བཙུན་བསམ་ཡས་པ།,,,བསམ་ཡས་པ།,,,,,,,,,,,,,,,,,,,,,,
P4CZ15137,,,,,,མཁན་པོ་གཞོན་ནུ་བུམ་པ།,,,མཁན་པོ་མཁན་པོ་ཀུ་མཱ་ར་ཀ་ལཱ་ཤ,མཁན་པོ་ཆེན་པོ་གཞོན་ནུ་བུམ་པ།,གཞོན་ནུ་བུམ་པ།,,,,,,,,,,,,,,,,,,,,
P1KG23618,,,,,,དཔའ་འཚོ་བ་འཇིགས་མེད་བློ་གྲོས།,,,འཇིགས་མེད་བློ་གྲོས།,,,,,,,,,,,,,,,,,,,,,,
P8LS13457,,,,,,པཎ་ཆེན་པུརྞ་ཙནྡྲ།,,,པུརྞ་ཙནྡྲ།,,,,,,,,,,,,,,,,,,,,,,
P7272,Male,1527,1596,,,དཔལ་ལྡན་བློ་གྲོས།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS13359,,1722,1797,,,ལྷ་ཁང་ལུང་བ་དགེ་འདུན་རྒྱ་མཚོ།,,,རེབ་ཚ་བཀའ་འགྱུར་སྐུ་དབོན ༠༣,དགེ་འདུན་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,,
